time,x,y,distance,velocity
50,-10.5757,2.05573,0.047695,0.47695
50.1,-10.4483,2.04411,0.127919,1.27919
50.2,-10.4652,2.03125,0.0212429,0.212429
50.3,-10.4093,2.0267,0.0560624,0.560624
50.4,-10.3694,1.97187,0.0677874,0.677874
50.5,-10.234,1.93216,0.141102,1.41102
50.6,-10.2866,1.93211,0.0525902,0.525902
50.7,-10.3579,2.00197,0.0997823,0.997823
50.8,-10.4903,2.12492,0.180693,1.80693
50.9,-11.1758,2.73339,0.916574,9.16574
51,-11.4762,2.96093,0.376855,3.76855
51.1,-11.7011,3.12829,0.280399,2.80399
51.2,-11.7894,3.12877,0.0882272,0.882272
51.3,-12.1252,3.27121,0.364831,3.64831
51.4,-12.2108,3.54885,0.290519,2.90519
51.5,-12.3244,3.50976,0.120143,1.20143
51.6,-12.2925,3.53494,0.0406095,0.406095
51.7,-12.4974,3.51318,0.206047,2.06047
51.8,-12.3162,3.56133,0.18754,1.8754
51.9,-12.4426,3.5245,0.13164,1.3164
52,-12.5177,3.57179,0.0887684,0.887684
52.1,-12.4914,3.661,0.0929903,0.929903
52.2,-12.3999,3.79624,0.163301,1.63301
52.3,-12.3653,3.87136,0.0827093,0.827093
52.4,-12.4148,3.88901,0.0526031,0.526031
52.5,-12.3788,3.92383,0.050153,0.50153
52.6,-12.3237,4.07081,0.156956,1.56956
52.7,-12.2316,4.2764,0.225258,2.25258
52.8,-12.0924,4.21068,0.153942,1.53942
52.9,-11.9968,4.11956,0.13209,1.3209
53,-11.9349,4.04603,0.0961145,0.961145
53.1,-11.9169,4.02521,0.0275219,0.275219
53.2,-11.8878,4.05054,0.0385606,0.385606
53.3,-12.0197,4.24304,0.233345,2.33345
53.4,-12.0657,4.2936,0.0683703,0.683703
53.5,-12.1289,4.34726,0.0828511,0.828511
53.6,-12.2708,4.28351,0.155625,1.55625
53.7,-12.3208,4.3537,0.0861352,0.861352
53.8,-12.3185,4.56358,0.20989,2.0989
53.9,-12.338,4.44689,0.118293,1.18293
54,-12.3226,4.46365,0.0227431,0.227431
54.1,-12.3543,4.42424,0.0506138,0.506138
54.2,-12.3793,4.41847,0.025606,0.25606
54.3,-12.4552,4.43874,0.0785783,0.785783
54.4,-12.5105,4.52904,0.105906,1.05906
54.5,-12.5541,4.55899,0.0528972,0.528972
54.6,-12.5372,4.55058,0.0189561,0.189561
54.7,-12.4615,4.58972,0.0852166,0.852166
54.8,-12.4517,4.55544,0.0356352,0.356352
54.9,-12.3911,4.60373,0.0774834,0.774834
55,-12.3722,4.60951,0.0197827,0.197827
55.1,-12.349,4.61047,0.0232611,0.232611
55.2,-12.3443,4.58063,0.0302071,0.302071
55.3,-12.3337,4.59142,0.0151452,0.151452
55.4,-12.2826,4.65644,0.0826601,0.826601
55.5,-12.2764,4.63172,0.0254797,0.254797
55.6,-12.2134,4.65429,0.0669889,0.669889
55.7,-12.0245,4.58435,0.201353,2.01353
55.8,-12.0743,4.38511,0.205363,2.05363
55.9,-12.2254,4.29037,0.178338,1.78338
56,-12.2604,4.25978,0.0464808,0.464808
56.1,-12.3223,4.62559,0.371011,3.71011
56.2,-12.4115,4.5982,0.0933234,0.933234
56.3,-12.4461,4.54833,0.060666,0.60666
56.4,-12.4158,4.59842,0.0584972,0.584972
56.5,-12.4161,4.46938,0.129046,1.29046
56.6,-12.4899,4.44503,0.0777678,0.777678
56.7,-12.4576,4.37833,0.0741284,0.741284
56.8,-12.5176,4.45424,0.0967425,0.967425
56.9,-12.4673,4.39072,0.0809987,0.809987
